-1001, 6, 1
-999, 7, 0
-1001, 6, 0
-999, 5, -2
-999, 9, 9
-1003, 0, -7
-998, 6, 3
-1001, 4, 0
-998, 3, -2
-1003, -1, -10
-1001, 6, 0
-1000, 8, -5
-1000, 0, 2
-999, 6, 1
-1000, 6, 5
-994, 2, 25
-1016, 6, -26
-997, 8, -8
-999, 7, -7
-1000, 5, 7
-1003, 4, -18
-1003, 13, 7
-1001, 7, -12
-999, 7, -40
-999, 10, -9
-1001, 5, -14
-999, 8, 0
-1003, 8, -8
-997, 8, -8
-998, 8, -6
-1001, 6, -4
-999, 3, -16
-999, 9, 0
-1000, 7, 0
-999, 7, -7
-999, 8, -10
-999, 7, -7
-999, 7, -7
-1002, 8, -1
-1000, 10, -4
-1000, 6, -1
-1000, 5, -1
-998, 8, -10
-1001, 7, 0
-1000, 7, -11
-1000, 8, 3
-1000, 7, -7
-999, 9, -9
-1001, 7, -2
-999, 7, -21
-1001, 10, -4
-1002, 7, -5
-1001, 5, -5
-1000, 7, -6
-999, 8, -11
-1000, 8, -3
-1002, 7, -3
-1001, 7, -8
-1001, 6, -3
-1000, 8, -6
-999, 8, -4
-1001, 7, -8
-1000, 9, -7
-1000, 5, -9
-1000, 6, -1
-1000, 7, -7
-1002, 7, -4
-1002, 9, -6
-1000, 8, 0
-999, 7, -4
-999, 5, -6
-999, 8, -4
-1002, 7, -3
-1001, 5, -8
-999, 9, -8
-1001, 5, -2
-1002, 6, -8
-999, 8, -6
-1001, 7, -1
-1003, 5, -8
-999, 9, -8
-1000, 6, -6
-1001, 6, -2
-999, 7, -5
-1002, 7, -3
-1000, 7, -4
-1000, 8, -6
-999, 6, -8
-1000, 6, -2
-999, 6, -5
-1002, 6, -6
-1002, 6, -9
-999, 7, -4
-996, 8, -10
-1000, 7, -4
-1002, 9, -9
-999, 4, -3
-1000, 5, -8
-1001, 5, -9
-998, 9, 0
-1000, 6, -3
-1000, 7, -5
-1000, 8, -2
-1000, 6, -11
-1003, 8, -4
-998, 4, -9
-1001, 9, -6
-1001, 6, -2
-999, 7, -8
-1003, 6, -7
-1001, 4, -3
-1000, 8, -5
-1000, 9, -7
-1002, 6, -4
-999, 7, -5
-998, 5, -10
-1002, 8, -7
-1000, 7, -5
-1002, 8, -6
-1002, 7, -4
-1001, 6, -8
-999, 8, -4
-1001, 7, -5
-999, 7, -1
-1001, 6, -8
-1000, 7, -5
-1000, 8, -5
-1002, 7, -6
-1000, 8, -9
-998, 5, -9
-1001, 7, -4
-999, 7, -1
-1001, 7, -7
-1000, 8, -8
-999, 7, -3
-999, 6, -9
-1002, 6, -5
-1003, 7, -11
-1001, 5, -6
-999, 7, -5
-998, 7, -6
-1000, 6, -4
-1000, 7, -6
-999, 5, -3
-998, 6, -2
-1001, 7, -8
-999, 7, -